country,region,tier,priority,overall_score,market_demand,product_fit,construction_activity,import_dependence,egypt_compat,logistics,competition_favorability,buyer_accessibility,profit_potential,market_growth,risk_score,main_risk,best_stones,best_segments,entry_strategy,data_status,lat,lon
Saudi Arabia,Middle East,Top 5,Critical,88,90,88,95,80,85,90,70,80,85,85,80,Reliance on a single in-market distributor if the relationship is not diversified,"Sunny Minya; Galala Light; New Halayeb","Construction companies; Kitchen manufacturers; Hospitality projects","Local distributor + direct contractor relationships on hospitality/giga-projects",ESTIMATE,24.7136,46.6753
United Arab Emirates,Middle East,Top 5,Critical,85,85,87,90,85,80,88,65,85,82,80,78,Highly competitive market with many established suppliers already present,"Sunny Minya; Galala Light","Interior design companies; Hospitality; Import companies","Dubai-based agent/distributor + trade-fair presence",ESTIMATE,25.2048,55.2708
Libya,North Africa,Top 5,Critical,82,80,85,85,90,90,95,75,80,70,60,65,Political/economic instability affecting payment security and continuity,"Meli Gray; Ramad El Sherka","Construction companies; Monumental masonry","Direct export via existing trade corridor; project-based selling",VERIFIED (existing top Egyptian marble destination),32.8872,13.1913
Algeria,North Africa,High,High,74,72,78,80,85,88,85,72,70,68,60,68,Currency/import-payment friction and bureaucratic customs delays,"Ramad El Sherka; New Halayeb","Construction companies; Building material distributors","Distributor/importer relationship; price-competitive positioning",VERIFIED (existing Egyptian granite destination),36.7538,3.0588
Romania,Europe,High,High,68,65,70,72,75,70,75,60,68,65,62,70,Entry point only; deeper EU penetration needs additional certification work,"Ramad El Sherka; Meli Gray","Wholesalers; Building material distributors","Importer/wholesaler partnership as stepping-stone into EU",VERIFIED (existing Egyptian granite destination),44.4268,26.1025
Lebanon,Middle East,High,Medium-High,65,60,72,55,80,88,90,68,75,60,45,68,Small market size caps volume upside,"Meli Gray; Galala Light","Construction companies; Interior design","Maintain via existing importer relationships",VERIFIED (existing Egyptian marble/granite destination),33.8938,35.5018
Qatar,Middle East,High,High,70,75,80,88,78,75,82,62,72,80,70,78,Small population limits volume ceiling despite high per-project value,"Sunny Minya; Galala Light","Hospitality; Construction companies; Engineering consultancies","Agent relationship targeting hospitality/mega-project contractors",ESTIMATE,25.2854,51.5310
Kuwait,Middle East,High,Medium-High,66,68,75,70,78,75,80,65,70,72,55,75,Slower project pipeline than Saudi/UAE/Qatar,"Sunny Minya; New Halayeb","Construction companies; Kitchen manufacturers","Distributor relationship via existing GCC network",ESTIMATE,29.3759,47.9774
Jordan,Middle East,High,Medium-High,63,58,70,60,82,85,88,65,72,58,50,70,Small domestic market; mainly a re-export/regional bridge,"Meli Gray; Ramad El Sherka","Construction companies; Wholesalers","Direct export leveraging Levant trade familiarity",ESTIMATE,31.9454,35.9284
Morocco,North Africa,Medium,Medium,60,58,65,62,70,72,65,60,58,58,55,65,Geographic distance raises freight cost versus Mashreq/Gulf markets,"New Halayeb; Meli Gray","Construction companies; Tile distributors","Importer partnership; test-order before distributor commitment",ESTIMATE,34.0209,-6.8416
Bulgaria,Europe,Medium,Medium,57,52,62,55,68,65,68,58,55,55,58,68,Small standalone market; value is mainly as EU/Balkans bridge,"Ramad El Sherka; Meli Gray","Wholesalers; Building material distributors","Importer/wholesaler partnership",ESTIMATE,42.6977,23.3219
United States,North America,Emerging / Selective,Medium,58,70,55,75,60,45,35,35,45,60,50,60,Import volumes softening in 2026 and premium segment dominated by Italy (marble) and India (granite),"Sunny Minya; Galala Light","Interior design; Engineering consultancies","Architect/specifier relationship-building; project-based, not volume",VERIFIED (2026 US import data cited in Phase 1),38.9072,-77.0369
France,Europe,Quick-win via specification,Medium,55,60,58,55,50,45,50,32,50,58,50,62,Turkey and Italy dominate volume distribution; Egypt has no established channel,"Galala Light","Architects; Interior design companies","Architect/interior-designer relationship-building, not distributor push",ESTIMATE,48.8566,2.3522
Germany,Europe,Quick-win via specification,Medium,54,58,55,58,52,42,52,30,48,55,48,63,Strong existing Italian/Turkish supplier relationships to displace,"Galala Light; Sunny Minya","Architects; Construction companies","Architect/specifier relationship-building via project specification",ESTIMATE,52.5200,13.4050
South Africa,Africa,Emerging,Low-Medium,48,50,55,50,55,50,40,55,45,50,55,55,Long shipping distance and thinner existing Egypt-Africa stone trade lane,"New Halayeb; Ramad El Sherka","Construction companies; Wholesalers","Test-order via importer before further investment",ESTIMATE,-25.7479,28.2293
