stone,country,fit_score,rating_stars
Meli Gray,Saudi Arabia,92,*****
Sunny Minya,Saudi Arabia,96,*****
Galala Light,Saudi Arabia,96,*****
Ramad El Sherka,Saudi Arabia,88,*****
New Halayeb,Saudi Arabia,84,****
Meli Gray,United Arab Emirates,89,*****
Sunny Minya,United Arab Emirates,93,*****
Galala Light,United Arab Emirates,96,*****
Ramad El Sherka,United Arab Emirates,85,*****
New Halayeb,United Arab Emirates,81,****
Meli Gray,Libya,76,****
Sunny Minya,Libya,80,****
Galala Light,Libya,83,****
Ramad El Sherka,Libya,88,*****
New Halayeb,Libya,84,****
Meli Gray,Algeria,68,***
Sunny Minya,Algeria,72,****
Galala Light,Algeria,74,****
Ramad El Sherka,Algeria,80,****
New Halayeb,Algeria,76,****
Meli Gray,Romania,62,***
Sunny Minya,Romania,65,***
Galala Light,Romania,67,***
Ramad El Sherka,Romania,74,****
New Halayeb,Romania,71,****
Meli Gray,Lebanon,65,***
Sunny Minya,Lebanon,68,***
Galala Light,Lebanon,70,****
Ramad El Sherka,Lebanon,65,***
New Halayeb,Lebanon,62,***
Meli Gray,Qatar,74,****
Sunny Minya,Qatar,78,****
Galala Light,Qatar,80,****
Ramad El Sherka,Qatar,70,****
New Halayeb,Qatar,66,***
Meli Gray,Kuwait,70,****
Sunny Minya,Kuwait,73,****
Galala Light,Kuwait,75,****
Ramad El Sherka,Kuwait,66,***
New Halayeb,Kuwait,63,***
Meli Gray,Jordan,57,***
Sunny Minya,Jordan,60,***
Galala Light,Jordan,62,***
Ramad El Sherka,Jordan,69,***
New Halayeb,Jordan,66,***
Meli Gray,Morocco,54,**
Sunny Minya,Morocco,57,***
Galala Light,Morocco,59,***
Ramad El Sherka,Morocco,66,***
New Halayeb,Morocco,63,***
Meli Gray,Bulgaria,51,**
Sunny Minya,Bulgaria,54,**
Galala Light,Bulgaria,56,***
Ramad El Sherka,Bulgaria,63,***
New Halayeb,Bulgaria,60,***
Meli Gray,United States,62,***
Sunny Minya,United States,65,***
Galala Light,United States,67,***
Ramad El Sherka,United States,50,**
New Halayeb,United States,47,**
Meli Gray,France,59,***
Sunny Minya,France,62,***
Galala Light,France,63,***
Ramad El Sherka,France,47,**
New Halayeb,France,44,**
Meli Gray,Germany,58,***
Sunny Minya,Germany,61,***
Galala Light,Germany,62,***
Ramad El Sherka,Germany,46,**
New Halayeb,Germany,43,**
Meli Gray,South Africa,48,**
Sunny Minya,South Africa,50,**
Galala Light,South Africa,52,**
Ramad El Sherka,South Africa,48,**
New Halayeb,South Africa,46,**
