phase,timeframe,action,country_focus,segment_focus,kpi
1,Months 1-2,"Commission independent stone-specific lab testing for the five priority stones",All,All,"Lab reports delivered per stone"
1,Months 1-2,"Fix Instagram handle and audit all social/link consistency",All,All,"All links verified and consistent"
1,Months 1-2,"Publish production capacity, lead times and MOQ on website and company profile",All,All,"Updated profile published"
2,Months 3-4,"Shortlist 3-5 candidate distributors/agents in Saudi Arabia and UAE","Saudi Arabia; UAE","Construction companies; Wholesalers","3-5 qualified distributor conversations"
2,Months 3-4,"Prepare Sunny Minya and Galala Light sample kit plus technical sheets","Saudi Arabia; UAE; Qatar",All,"Sample kits ready for shipment"
3,Months 5-6,"Register for Egyptian government export-support programs tied to the $1bn target",All,All,"Registration confirmed"
3,Months 5-6,"Deepen existing Libya, Algeria, Romania and Lebanon relationships with structured account plans","Libya; Algeria; Romania; Lebanon","Construction companies; Wholesalers","Account plans documented per market"
4,Months 7-9,"Direct outreach to 10-15 target contractors/hospitality developers","Saudi Arabia; UAE","Construction companies; Hospitality","10-15 qualified leads engaged"
4,Months 7-9,"Begin architect/specifier relationship-building in US/EU","United States; France; Germany","Interior design; Engineering consultancies","5+ specifier relationships initiated"
5,Months 10-12,"Convert pilot GCC relationships into first orders/distributor agreements","Saudi Arabia; UAE; Qatar","Construction companies; Kitchen manufacturers","1+ signed distributor agreement"
5,Months 10-12,"Commission full 25-30 country UN Comtrade scoring study informed by pilot feedback",All,All,"Full country study delivered"
